corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-eba811ab532ec942,filesystem,,2369751,eba811ab532ec9429a4d0848e2af5c0c2534d7c69e95ef1da8638e038937b960,97,adjacent-exact,713204,26fcbc7db1020e65799be0f70702dc96ec29e031351a5a6361ee7a69c9a8765d
mus-9660729bce43661c,filesystem,,111134,9660729bce43661ced45041984255dd6767089224cbf104ab2f20fa1553c3f6b,2006,adjacent-exact,136555,26ca9bf0d3fb075a509cfe77a499c6ad1d2283adcd2f9eb9df8f8145a50b0bac
mus-34d82dfbfc09baa6,filesystem,,116098,34d82dfbfc09baa606cc915c91192d3dcceae5e6fdadc1b7966c447e74610e60,2006,adjacent-exact,144529,68ca5fe436abb044bef51e26f645c3ee9dc6c9c7609a879973d5c90c1f34c403
mus-5391f2d2909b15f3,filesystem,,115599,5391f2d2909b15f36184405a181e31ceff1730b73096320ca581e2ef33b72681,2006,adjacent-exact,144004,c46a8150c9b71bf72a2adcb1fb664bf428ff06d459d834b1a462115beae092a9
mus-02849d5c8016549f,filesystem,,121039,02849d5c8016549f0fa31e9c1487f6cd7c9342003ad62d18873518d7c4d1966b,2006,adjacent-exact,150671,8cf192145640a687a9958475b4863b5e2dfd01b474b5e38e389dcda3025a1dd4
mus-58cf1e51511acf83,filesystem,,118641,58cf1e51511acf83aabe56425535bf2c0c6e77c11c964e99434abfb044e036be,2006,adjacent-exact,147809,fde5687c2de7e31159cecd50a6e244d087b112c202c1c5d1c6f0690d6af8c739
mus-0c5cf644541a866c,filesystem,,116548,0c5cf644541a866c5486f670cb695dd51f24f85250f0a2d84ff4ba22d456dbe3,2006,adjacent-exact,144817,4cfdd635efba4f6676b3a67a09329b9c766b66e23b2075e596a6e6ce96324c2f
mus-c2e6d22eb3e2222e,filesystem,,115174,c2e6d22eb3e2222e741943a1b2d90125b6d59ccde21549d3476cc25bf4169743,2006,adjacent-exact,142855,77f52892e902acd838e376270145b1ea4a4c1e38363fc643e3233fca37a7c4fe
mus-22c301c400a44c8a,filesystem,,191712,22c301c400a44c8a3b1b87422284561db3663119b3dac697c09a600e19f4a802,2006,adjacent-exact,233252,ebff7671cd45d37e01242856dd1d1bedf0b8f072422b5aa44c89b8c97b5e690c
mus-da849bc1f96ff44d,filesystem,,176725,da849bc1f96ff44d677bb92af4a69007729831c6df331ebe8e7209533ebe5df1,2006,adjacent-exact,208816,55495d14788d8caf07bc7b58c4feb08cb50e2e323449746a05dd390fc6fa390c
mus-51b0ca4b8426b694,filesystem,,112251,51b0ca4b8426b694fac46226d39f6f6e4b84793b4a24bcfa487ab900b82ebac2,2006,adjacent-exact,137162,6ae4df6dc6cf4dc29428a6715fc68f966bb469056506cedca2368938d62fa311
mus-b895b7ea4f4d8736,filesystem,,108134,b895b7ea4f4d8736e063195efb1597a69a3a1df29afd65b13e0c1845d894c5c2,2006,adjacent-exact,132028,542d476c40caacb2c580b7f39bc1ed46ea24415856f7a5d47b966b9ede6e255c
