archive_id,member_id,member_size,member_sha256,is_enigma_binary,saving_product,member_name_has_extension,body_prefix,body_entropy,wrapper_endian,zlib_members,framed_records
arc-c69c5dbad3bbb0b9,mus-6173f1993e764109,257842,6173f1993e764109cbba1217781a4058c076956007a16065871cce55a4c27dc2,True,2000,False,00010002e4d600312661000100000000,3.8769,none,0,0
arc-c69c5dbad3bbb0b9,mus-46949d8dcf5961df,258709,46949d8dcf5961dfebccfb49ea67db1d3d81e5facd27da8f437d942db5029766,True,2000,False,00010002e3a600312661000100000000,3.8986,none,0,0
arc-c69c5dbad3bbb0b9,mus-2b58b1e3848e66c7,237191,2b58b1e3848e66c706c6f7647c5b1d22a0390ed23065efbeccd94b1100cafa65,True,2000,False,00010002c21600312661000100000000,3.8026,none,0,0
arc-c69c5dbad3bbb0b9,mus-d4560c017c5451e4,245318,d4560c017c5451e416af3c951bab75050fa83c0ecba001f3811f518fe9640109,True,2000,False,00010002cc2600312661000100000000,3.8248,none,0,0
arc-c69c5dbad3bbb0b9,mus-35a2787ab2708196,244755,35a2787ab27081966f5a42d35c0ec7cfa5779f2d4dab168b95c978518bfef22d,True,2000,False,00010002cd8600312661000100000000,3.8091,none,0,0
arc-c69c5dbad3bbb0b9,mus-c0ca3d6fa7087571,251082,c0ca3d6fa708757148832b036c846ba3754922436f778c623c1bcacaec9713b7,True,2000,False,00010002d3a600312661000100000000,3.8375,none,0,0
arc-c69c5dbad3bbb0b9,mus-cdf86b7e9a07292d,236509,cdf86b7e9a07292d78ff71ee60e4cda39b2b11da2ce41459d1db68f4ae9469e7,True,2000,False,00010002bf6600312661000100000000,3.7694,none,0,0
arc-c69c5dbad3bbb0b9,mus-6ffcfdb537fb7b92,638226,6ffcfdb537fb7b92bb49c4f43da33d3bf5c2bf9aa92ef1c73e7b9223c20d7e0b,True,2000,False,0001000496e600312661000100000000,4.0003,none,0,0
arc-2b13f320c62a59a3,mus-23ff928ba17c1ead,434987,23ff928ba17c1eadb5f1af78349b30e30f1eedab17d806da38a8af4e83218a36,True,2000,True,00010003181600302661000d00000000,3.5802,none,0,0
arc-2b13f320c62a59a3,mus-81bf8644f901b86e,1485322,81bf8644f901b86ec7873b173a00021d5107277b8450e14acdee704378e0c97f,True,2000,True,00010007bfe600302661000d00000000,3.6370,none,0,0
